id;imie;nazwisko;miasto;ilosc;kwota;wspolczynnik
5765;Katarzyna;Zieliński;Łódź;485;409.44;1.000
5766;Tomasz;Wiśniewski;Poznań;77;2083.47;1.000
5767;Magdalena;Nowak;Poznań;375;4721.34;0.353
5768;Magdalena;Wiśniewski;Lublin;467;3676.30;0.705
5769;Jan;Szymański;Wrocław;344;3339.20;0.502
5770;Krzysztof;Kozłowski;Wrocław;424;4442.21;0.846
5771;Maria;Mazur;Wrocław;55;2354.61;1.000
5772;Andrzej;Kozłowski;Poznań;252;535.57;0.850
5773;Michał;Kozłowski;Łódź;284;45.75;1.000
5774;Krzysztof;Szymański;Lublin;434;138.20;0.737
5775;Anna;Kozłowski;Kraków;207;637.45;0.548
5776;Marcin;Kamiński;Poznań;493;2748.71;0.774
5777;Ewa;Szymański;Kraków;94;2750.45;0.918
5778;Tomasz;Dąbrowski;Łódź;110;4377.58;0.207
5779;Anna;Wiśniewski;Wrocław;184;1473.08;1.000
5780;Jan;Zieliński;Kraków;109;1312.80;0.616
5781;Barbara;Woźniak;Katowice;158;3691.38;0.970
5782;Paweł;Kozłowski;Gdańsk;366;3829.66;1.000
5783;Tomasz;Mazur;Poznań;317;2110.19;1.000
5784;Piotr;Lewandowski;Lublin;77;795.02;1.000
5785;Paweł;Szymański;Łódź;430;4705.60;1.000
5786;Andrzej;Kowalski;Kraków;203;762.07;0.865
5787;Marcin;Dąbrowski;Łódź;176;4326.79;1.000
5788;Anna;Kozłowski;Kraków;428;1958.46;1.000
5789;Michał;Wójcik;Poznań;108;2998.42;1.000
5790;Paweł;Lewandowski;Kraków;139;766.50;0.671
5791;Ewa;Lewandowski;Gdańsk;420;2100.89;0.961
5792;Anna;Zieliński;Poznań;105;1899.91;1.000
5793;Joanna;Woźniak;Warszawa;228;293.49;1.000
5794;Barbara;Kamiński;Lublin;113;1658.66;1.000
5795;Anna;Kamiński;Kraków;355;4715.93;1.000
5796;Maria;Wiśniewski;Warszawa;92;1984.20;0.240
5797;Joanna;Wójcik;Katowice;500;4941.78;0.745
5798;Magdalena;Lewandowski;Łódź;495;569.55;0.252
5799;Michał;Wójcik;Lublin;217;933.74;1.000
5800;Jan;Woźniak;Brak danych;491;2476.15;0.149
5801;Jan;Nowak;Wrocław;496;4540.57;0.732
5802;Paweł;Lewandowski;Lublin;381;3747.04;1.000
5803;Ewa;Nowak;Poznań;38;2495.79;0.830
5804;Katarzyna;Woźniak;Katowice;311;1633.93;0.950
5805;Ewa;Mazur;Gdańsk;274;2943.59;0.548
5806;Barbara;Kowalczyk;Lublin;24;1705.64;0.444
5807;Maria;Kwiatkowski;Katowice;123;3797.54;0.964
5808;Marcin;Kwiatkowski;Łódź;431;3459.65;0.150
5809;Michał;Kowalczyk;Lublin;252;2543.56;1.000
5810;Ewa;Lewandowski;Gdańsk;306;2554.51;0.290
5811;Ewa;Dąbrowski;Kraków;133;1020.67;0.714
5812;Tomasz;Szymański;Gdańsk;286;1233.53;0.597
5813;Michał;Mazur;Katowice;174;2706.19;1.000
5814;Katarzyna;Wójcik;Gdańsk;398;340.48;0.171
5815;Anna;Dąbrowski;Warszawa;70;1770.14;1.000
5816;Michał;Kamiński;Łódź;434;365.40;1.000
5817;Michał;Dąbrowski;Gdańsk;276;231.36;1.000
5818;Michał;Mazur;Kraków;453;4681.83;1.000
5819;Krzysztof;Kowalczyk;Wrocław;32;523.68;0.883
5820;Paweł;Kwiatkowski;Gdańsk;98;1102.27;1.000
5821;Magdalena;Woźniak;Kraków;405;2452.38;1.000
5822;Jan;Wójcik;Warszawa;496;1469.41;1.000
5823;Marcin;Kwiatkowski;Gdańsk;107;2684.59;0.203
5824;Michał;Kowalczyk;Gdańsk;-39;4421.58;0.277
5825;Katarzyna;Woźniak;Kraków;260;2491.81;0.406
5826;Marcin;Kamiński;Lublin;232;3000.31;0.673
5827;Katarzyna;Mazur;Wrocław;488;649.27;0.901
5828;Marcin;Zieliński;Łódź;60;4226.93;0.912
5829;Piotr;Kozłowski;Łódź;270;809.55;0.818
5830;Marcin;Lewandowski;Warszawa;252;3427.31;0.411
5831;Agnieszka;Woźniak;Warszawa;139;4692.58;0.888
5832;Krzysztof;Zieliński;Warszawa;223;2065.03;1.000
5833;Agnieszka;Mazur;Wrocław;114;4971.55;0.696
5834;Paweł;Kwiatkowski;Lublin;28;2038.87;0.476
5835;Katarzyna;Nowak;Kraków;473;4035.91;0.980
5836;Tomasz;Kwiatkowski;Poznań;315;1689.25;1.000
5837;Piotr;Kozłowski;Kraków;478;4728.55;1.000
5838;Anna;Kozłowski;Warszawa;83;1421.49;0.643
5839;Andrzej;Nowak;Lublin;115;1934.87;1.000
5840;Jan;Lewandowski;Lublin;433;700.02;0.930
5841;Tomasz;Kozłowski;Łódź;141;1595.51;0.541
5842;Magdalena;Kozłowski;Lublin;75;4777.40;1.000
5843;Anna;Wójcik;Wrocław;381;1984.39;0.516
5844;Krzysztof;Wiśniewski;Katowice;351;3857.43;0.526
5845;Katarzyna;Nowak;Gdańsk;387;2971.20;0.165
5846;Michał;Woźniak;Warszawa;252;3452.26;0.454
5847;Michał;Lewandowski;Łódź;254;4995.66;1.000
5848;Maria;Lewandowski;Kraków;166;350.51;1.000
5849;Maria;Kowalczyk;Wrocław;170;2227.50;0.330
5850;Joanna;Wiśniewski;Warszawa;252;4177.65;0.850
5851;Katarzyna;Mazur;Lublin;106;1269.53;1.000
5852;Paweł;Woźniak;Wrocław;256;1630.24;0.521
5853;Katarzyna;Kamiński;Wrocław;118;124.72;0.869
5854;Marcin;Nowak;Katowice;51;4537.36;0.946
5855;Krzysztof;Wiśniewski;Warszawa;333;1757.67;0.376
5856;Anna;Kowalski;Katowice;175;3372.77;1.000
5857;Jan;Woźniak;Wrocław;50;3323.87;0.345
5858;Anna;Kozłowski;Wrocław;156;573.63;0.658
5859;Paweł;Woźniak;Lublin;426;1616.16;0.893
5860;Magdalena;Woźniak;Wrocław;335;1595.72;0.732
5861;Andrzej;Lewandowski;Wrocław;195;379.60;0.637
5862;Anna;Woźniak;Lublin;373;4269.13;1.000
5863;Andrzej;Nowak;Warszawa;91;3522.89;0.288
5864;Tomasz;Lewandowski;Lublin;461;4634.68;0.554
5865;Anna;Kowalczyk;Gdańsk;127;3456.82;0.118
5866;Jan;Kowalski;Warszawa;72;360.66;0.268
5867;Joanna;Wiśniewski;Wrocław;45;2712.17;0.160
5868;Anna;Mazur;Łódź;331;2852.40;0.692
5869;Magdalena;Zieliński;Lublin;38;1796.12;1.000
5870;Magdalena;Szymański;Łódź;135;2058.01;0.407
5871;Tomasz;Zieliński;Warszawa;473;1941.32;1.000
5872;Piotr;Szymański;Poznań;349;31.43;1.000
5873;Krzysztof;Lewandowski;Lublin;59;4486.62;0.742
5874;Piotr;Kowalczyk;Kraków;420;4748.81;0.869
5875;Piotr;Kowalczyk;Lublin;275;2733.51;0.765
5876;Andrzej;Kamiński;Katowice;490;4731.82;1.000
5877;Agnieszka;Kozłowski;Gdańsk;75;4443.80;1.000
5878;Joanna;Kozłowski;Lublin;399;629.79;1.000
5879;Agnieszka;Kowalski;Lublin;314;3164.34;0.767
5880;Brak danych;Dąbrowski;Łódź;382;302.36;0.548
5881;Tomasz;Zieliński;Łódź;190;4721.16;0.570
5882;Michał;Szymański;Kraków;238;3531.58;0.407
5883;Andrzej;Nowak;Wrocław;252;4177.95;0.397
5884;Michał;Kwiatkowski;Lublin;75;42.15;1.000
5885;Joanna;Kozłowski;Gdańsk;195;2857.54;1.000
5886;Marcin;Woźniak;Poznań;263;119.07;1.000
5887;Paweł;Woźniak;Kraków;315;4969.70;1.000
5888;Magdalena;Mazur;Warszawa;291;1445.91;1.000
5889;Andrzej;Wójcik;Gdańsk;221;487.46;0.367
5890;Jan;Wójcik;Lublin;73;3689.55;1.000
5891;Marcin;Szymański;Kraków;434;3043.18;0.792
5892;Jan;Szymański;Katowice;456;4989.33;0.889
5893;Michał;Nowak;Łódź;408;1664.85;0.969
5894;Andrzej;Woźniak;Kraków;345;3936.55;0.251
5895;Joanna;Kozłowski;Łódź;397;485.01;0.413
5896;Krzysztof;Lewandowski;Poznań;428;3404.53;0.330
5897;Agnieszka;Szymański;Gdańsk;282;573.29;0.861
5898;Barbara;Zieliński;Poznań;325;428.90;1.000
5899;Barbara;Woźniak;Poznań;397;2787.21;0.480
5900;Paweł;Kozłowski;Wrocław;341;4993.48;0.606
5901;Paweł;Kamiński;Wrocław;199;2722.65;0.333
5902;Barbara;Szymański;Wrocław;203;4786.83;0.665
5903;Krzysztof;Nowak;Warszawa;168;2359.28;0.596
5904;Tomasz;Kozłowski;Katowice;254;3380.70;1.000
5905;Maria;Wójcik;Warszawa;425;3073.96;0.711
5906;Katarzyna;Lewandowski;Poznań;351;3331.21;0.323
5907;Krzysztof;Wójcik;Kraków;472;3867.64;1.000
5908;Piotr;Mazur;Poznań;237;1329.22;0.670
5909;Ewa;Zieliński;Poznań;292;91.97;0.524
5910;Anna;Kwiatkowski;Kraków;354;3645.59;1.000
5911;Michał;Wójcik;Wrocław;150;3208.54;1.000
5912;Tomasz;Wójcik;Katowice;293;933.90;0.319
5913;Marcin;Szymański;Gdańsk;173;1511.61;1.000
5914;Magdalena;Kowalski;Lublin;97;1434.87;1.000
5915;Marcin;Szymański;Łódź;-336;1074.46;0.663
5916;Joanna;Dąbrowski;Wrocław;105;479.28;0.121
5917;Katarzyna;Szymański;Katowice;385;3398.78;0.254
5918;Magdalena;Szymański;Warszawa;7;1905.40;0.256
5919;Tomasz;Szymański;Lublin;380;3086.06;1.000
5920;Anna;Kozłowski;Wrocław;252;1640.96;0.177
5921;Krzysztof;Kwiatkowski;Kraków;376;3403.63;0.999
5922;Magdalena;Nowak;Gdańsk;220;1618.76;0.967
5923;Piotr;Kowalski;Poznań;242;4760.88;0.283
5924;Ewa;Szymański;Gdańsk;230;4947.58;0.935
5925;Ewa;Wiśniewski;Kraków;30;1101.74;1.000
5926;Jan;Kamiński;Gdańsk;152;470.34;1.000
5927;Anna;Kwiatkowski;Warszawa;216;3159.46;0.617
5928;Michał;Wójcik;Wrocław;256;4447.43;1.000
5929;Barbara;Kwiatkowski;Łódź;118;3499.16;0.125
5930;Michał;Kozłowski;Katowice;166;859.10;0.245
5931;Marcin;Dąbrowski;Katowice;43;2314.65;0.720
5932;Barbara;Lewandowski;Poznań;5;2047.05;0.547
5933;Piotr;Kamiński;Kraków;449;697.92;1.000
5934;Agnieszka;Kwiatkowski;Kraków;208;443.81;1.000
5935;Anna;Woźniak;Katowice;156;2145.48;0.321
5936;Andrzej;Woźniak;Poznań;96;2269.67;1.000
5937;Anna;Wiśniewski;Lublin;128;2946.18;0.747
5938;Maria;Woźniak;Gdańsk;306;4774.58;0.146
5939;Piotr;Kwiatkowski;Poznań;41;1565.81;0.789
5940;Anna;Kowalski;Poznań;252;4490.41;0.771
5941;Barbara;Woźniak;Lublin;314;2834.11;0.741
5942;Barbara;Kwiatkowski;Lublin;96;3282.01;1.000
5943;Jan;Dąbrowski;Łódź;146;1571.03;0.376
5944;Paweł;Kamiński;Warszawa;17;2693.16;0.415
5945;Jan;Lewandowski;Łódź;53;2476.15;0.910
5946;Magdalena;Szymański;Wrocław;473;3208.74;1.000
5947;Katarzyna;Kozłowski;Lublin;101;1911.30;0.886
5948;Jan;Mazur;Katowice;64;1964.81;1.000
5949;Magdalena;Wiśniewski;Gdańsk;234;1224.46;0.989
5950;Paweł;Szymański;Poznań;113;4201.40;0.115
5951;Tomasz;Wójcik;Łódź;491;4457.52;1.000
5952;Anna;Wiśniewski;Lublin;5;2832.33;0.365
5953;Maria;Wójcik;Poznań;20;4554.39;1.000
5954;Katarzyna;Dąbrowski;Poznań;370;4589.70;1.000
5955;Piotr;Wójcik;Łódź;333;689.39;0.403
5956;Andrzej;Kowalski;Kraków;289;2021.14;1.000
5957;Andrzej;Kozłowski;Katowice;252;3442.49;0.843
5958;Ewa;Kowalczyk;Łódź;199;3130.33;1.000
5959;Maria;Lewandowski;Kraków;232;2929.78;0.888
5960;Joanna;Wiśniewski;Kraków;61;3088.26;0.459
5961;Andrzej;Dąbrowski;Warszawa;195;1946.66;0.627
5962;Jan;Lewandowski;Poznań;428;4530.32;0.588
5963;Magdalena;Kozłowski;Kraków;255;893.32;1.000
5964;Michał;Dąbrowski;Łódź;348;4292.46;0.818
5965;Jan;Lewandowski;Warszawa;170;722.62;0.629
5966;Barbara;Nowak;Poznań;55;4190.41;0.804
5967;Piotr;Wiśniewski;Lublin;411;1681.28;0.566
5968;Jan;Kowalski;Warszawa;196;3601.07;0.891
5969;Joanna;Mazur;Poznań;338;1102.38;1.000
5970;Maria;Woźniak;Łódź;311;368.26;0.285
5971;Joanna;Mazur;Warszawa;36;4481.37;1.000
5972;Paweł;Nowak;Lublin;247;4939.19;1.000
5973;Tomasz;Mazur;Poznań;91;1569.80;0.300
5974;Michał;Szymański;Poznań;370;3407.61;1.000
5975;Joanna;Kamiński;Gdańsk;18;1177.31;0.392
5976;Maria;Kozłowski;Kraków;284;400.31;1.000
5977;Krzysztof;Woźniak;Lublin;62;474.16;1.000
5978;Joanna;Kozłowski;Katowice;405;3064.85;0.734
5979;Michał;Kowalski;Łódź;107;2415.11;0.417
5980;Agnieszka;Kowalczyk;Gdańsk;252;3324.48;0.207
5981;Paweł;Wiśniewski;Łódź;204;3135.72;0.140
5982;Marcin;Nowak;Gdańsk;11;3579.26;1.000
5983;Barbara;Kwiatkowski;Poznań;312;3972.87;0.285
5984;Andrzej;Mazur;Gdańsk;117;3191.23;0.400
5985;Joanna;Kozłowski;Łódź;345;1285.78;0.548
5986;Agnieszka;Wójcik;Gdańsk;325;4827.60;1.000
5987;Marcin;Kwiatkowski;Wrocław;173;4506.84;0.220
5988;Piotr;Kamiński;Lublin;293;4383.63;0.410
5989;Jan;Mazur;Kraków;396;3032.06;1.000
5990;Joanna;Kamiński;Lublin;219;294.64;1.000
5991;Agnieszka;Woźniak;Wrocław;313;3205.46;0.582
5992;Michał;Szymański;Wrocław;372;1901.47;0.127
5993;Michał;Kamiński;Łódź;408;3088.08;1.000
5994;Jan;Lewandowski;Warszawa;252;0.00;0.477
5995;Maria;Kamiński;Warszawa;225;486.75;1.000
5996;Krzysztof;Kowalski;Gdańsk;372;2113.44;0.806
5997;Marcin;Szymański;Lublin;188;4569.12;0.355
5998;Marcin;Nowak;Wrocław;291;4132.57;0.474
5999;Ewa;Kamiński;Lublin;192;2809.06;1.000
6000;Brak danych;Kowalski;Brak danych;240;2561.50;1.000
6001;Marcin;Wiśniewski;Poznań;364;2380.42;0.839
6002;Michał;Wójcik;Wrocław;317;3232.58;1.000
6003;Jan;Kowalski;Gdańsk;80;457.13;0.615
6004;Paweł;Mazur;Lublin;446;447.42;0.794
6005;Piotr;Nowak;Wrocław;484;467.90;0.787
6006;Ewa;Woźniak;Katowice;-51;3755.28;0.330
6007;Maria;Mazur;Kraków;65;3774.32;0.765
6008;Magdalena;Dąbrowski;Warszawa;446;4707.97;1.000
6009;Marcin;Wiśniewski;Katowice;495;4242.83;0.660
6010;Jan;Zieliński;Gdańsk;282;1901.33;1.000
6011;Michał;Szymański;Poznań;162;4596.30;1.000
6012;Andrzej;Mazur;Gdańsk;291;3844.40;0.730
6013;Marcin;Mazur;Katowice;248;1442.96;0.994
6014;Jan;Nowak;Poznań;23;1106.05;1.000
6015;Tomasz;Kowalski;Poznań;337;2114.13;1.000
6016;Barbara;Zieliński;Gdańsk;404;3870.12;0.492
6017;Anna;Kozłowski;Łódź;177;4656.78;0.126
6018;Krzysztof;Wiśniewski;Katowice;428;3371.34;0.961
6019;Katarzyna;Nowak;Katowice;483;642.98;0.925
6020;Krzysztof;Dąbrowski;Lublin;188;3310.36;0.548
6021;Magdalena;Zieliński;Łódź;318;4972.90;0.192
6022;Krzysztof;Zieliński;Warszawa;265;4286.12;0.897
6023;Jan;Lewandowski;Lublin;104;1045.11;0.203
6024;Katarzyna;Kamiński;Wrocław;110;4230.71;0.742
6025;Tomasz;Woźniak;Lublin;46;455.44;1.000
6026;Piotr;Kowalski;Gdańsk;315;4026.33;1.000
6027;Agnieszka;Mazur;Poznań;137;832.34;0.575
6028;Joanna;Nowak;Wrocław;189;1192.45;0.341
6029;Tomasz;Nowak;Lublin;159;3836.41;0.135
6030;Piotr;Wójcik;Wrocław;250;4378.75;0.474
6031;Agnieszka;Kozłowski;Wrocław;252;2684.24;0.522
6032;Maria;Kowalczyk;Katowice;171;3560.16;1.000
6033;Piotr;Mazur;Katowice;247;3010.98;0.477
6034;Michał;Kowalczyk;Wrocław;32;3400.87;0.538
6035;Magdalena;Kowalski;Katowice;89;1045.10;0.532
6036;Paweł;Lewandowski;Warszawa;378;372.16;0.507
6037;Agnieszka;Kowalczyk;Gdańsk;163;1615.46;0.559
6038;Ewa;Kozłowski;Katowice;321;1248.60;0.835
6039;Paweł;Lewandowski;Wrocław;478;3021.83;1.000
6040;Paweł;Kamiński;Wrocław;25;48.59;0.615
6041;Paweł;Dąbrowski;Katowice;351;3586.17;1.000
6042;Jan;Zieliński;Lublin;372;4804.48;1.000
6043;Barbara;Kowalczyk;Wrocław;24;2151.21;0.416
6044;Agnieszka;Dąbrowski;Katowice;287;1332.45;1.000
6045;Tomasz;Kwiatkowski;Warszawa;312;4995.91;1.000
6046;Anna;Kowalski;Warszawa;164;4406.97;0.276
6047;Magdalena;Woźniak;Gdańsk;316;4522.40;1.000
6048;Tomasz;Szymański;Wrocław;168;2348.86;0.818
6049;Jan;Dąbrowski;Gdańsk;72;3721.66;1.000
6050;Maria;Zieliński;Katowice;252;4702.92;0.472
6051;Barbara;Nowak;Lublin;318;4480.17;0.785
6052;Andrzej;Zieliński;Kraków;249;3843.94;0.149
6053;Piotr;Szymański;Wrocław;108;4764.33;1.000
6054;Katarzyna;Woźniak;Łódź;99;4736.48;1.000
6055;Tomasz;Kamiński;Kraków;375;747.06;0.545
6056;Anna;Kowalski;Lublin;448;3158.68;0.322
6057;Andrzej;Wójcik;Wrocław;90;162.56;0.364
6058;Magdalena;Lewandowski;Wrocław;172;3522.74;0.602
6059;Ewa;Kwiatkowski;Katowice;434;1722.75;1.000
6060;Marcin;Wójcik;Katowice;377;4627.17;0.236
6061;Marcin;Kozłowski;Łódź;202;2017.03;0.567
6062;Michał;Kamiński;Lublin;199;1114.76;0.371
6063;Jan;Szymański;Lublin;184;397.09;0.354
6064;Michał;Lewandowski;Warszawa;13;1288.17;0.155
6065;Joanna;Kamiński;Kraków;343;651.04;0.613
6066;Barbara;Wójcik;Kraków;279;1762.54;0.957
6067;Magdalena;Wójcik;Poznań;193;4752.51;0.689
6068;Krzysztof;Woźniak;Łódź;252;2636.88;1.000
6069;Paweł;Nowak;Poznań;449;4535.70;1.000
6070;Katarzyna;Kamiński;Kraków;90;72.13;0.497
6071;Maria;Kozłowski;Kraków;316;1197.39;0.987
6072;Katarzyna;Mazur;Lublin;42;4119.88;1.000
6073;Piotr;Nowak;Poznań;117;3940.06;0.675
6074;Maria;Kamiński;Łódź;457;2492.69;1.000
6075;Andrzej;Kowalczyk;Katowice;118;536.44;0.563
6076;Magdalena;Wiśniewski;Lublin;228;2620.50;1.000
6077;Andrzej;Nowak;Kraków;217;128.51;0.876
6078;Katarzyna;Wiśniewski;Łódź;31;4783.02;0.263
6079;Jan;Szymański;Kraków;16;3312.04;0.265
6080;Katarzyna;Lewandowski;Warszawa;484;2327.20;1.000
6081;Piotr;Dąbrowski;Poznań;248;4685.01;1.000
6082;Maria;Wójcik;Poznań;406;1901.86;1.000
6083;Joanna;Mazur;Lublin;8;1031.65;0.670
6084;Maria;Kamiński;Kraków;36;3532.05;0.331
6085;Anna;Zieliński;Wrocław;28;811.22;0.911
6086;Ewa;Lewandowski;Katowice;107;4120.72;0.245
6087;Katarzyna;Kwiatkowski;Katowice;4;3582.90;0.393
6088;Michał;Zieliński;Katowice;129;2742.14;1.000
6089;Marcin;Kowalski;Wrocław;330;4041.24;1.000
6090;Marcin;Kamiński;Lublin;149;2476.15;0.548
6091;Agnieszka;Kozłowski;Wrocław;351;1054.71;0.257
6092;Barbara;Kowalczyk;Gdańsk;235;1000.29;0.387
6093;Jan;Kamiński;Łódź;202;4285.36;0.381
6094;Maria;Nowak;Wrocław;235;889.55;0.725
6095;Michał;Szymański;Warszawa;142;2088.69;0.657
6096;Agnieszka;Wójcik;Wrocław;334;1928.66;0.747
6097;Maria;Wiśniewski;Łódź;-365;389.90;1.000
6098;Magdalena;Wójcik;Łódź;296;1885.72;0.643
6099;Piotr;Zieliński;Poznań;219;1866.21;0.381
6100;Paweł;Szymański;Lublin;492;4184.70;0.118
6101;Piotr;Wiśniewski;Warszawa;36;3023.77;0.958
6102;Katarzyna;Kowalczyk;Kraków;393;2382.08;0.919
6103;Tomasz;Szymański;Katowice;113;840.63;1.000
6104;Katarzyna;Dąbrowski;Gdańsk;357;134.11;0.250
6105;Krzysztof;Kozłowski;Poznań;252;619.33;0.580
6106;Andrzej;Kamiński;Lublin;321;4296.11;0.866
6107;Anna;Dąbrowski;Łódź;395;816.15;0.295
6108;Paweł;Woźniak;Warszawa;167;4793.58;1.000
6109;Joanna;Woźniak;Kraków;176;2081.70;0.830
6110;Paweł;Mazur;Katowice;252;2268.47;1.000
6111;Paweł;Lewandowski;Lublin;327;3120.14;0.131
6112;Jan;Dąbrowski;Wrocław;433;1333.78;1.000
6113;Joanna;Kowalczyk;Wrocław;481;194.01;1.000
6114;Ewa;Mazur;Lublin;111;1583.86;0.561
6115;Jan;Kozłowski;Warszawa;261;1122.71;0.541
6116;Magdalena;Lewandowski;Warszawa;392;1654.61;0.895
6117;Piotr;Wójcik;Lublin;360;1512.10;1.000
6118;Marcin;Mazur;Wrocław;324;2021.89;0.513
6119;Katarzyna;Kamiński;Katowice;186;1284.35;1.000
6120;Brak danych;Dąbrowski;Gdańsk;468;219.61;0.806
6121;Piotr;Kamiński;Warszawa;114;4450.03;1.000
6122;Maria;Wiśniewski;Katowice;123;2024.33;0.326
6123;Andrzej;Kowalski;Lublin;80;2918.76;0.933
6124;Paweł;Kamiński;Lublin;385;4038.67;0.906
6125;Joanna;Woźniak;Łódź;36;2926.55;0.966
6126;Tomasz;Lewandowski;Gdańsk;430;4860.33;1.000
6127;Jan;Nowak;Gdańsk;59;2712.99;0.264
6128;Agnieszka;Kamiński;Kraków;419;1783.11;0.617
6129;Jan;Nowak;Poznań;130;1818.30;0.179
6130;Anna;Wójcik;Poznań;439;2279.80;0.916
6131;Jan;Kwiatkowski;Kraków;224;2452.32;1.000
6132;Anna;Wiśniewski;Gdańsk;439;4238.78;1.000
6133;Piotr;Kowalczyk;Warszawa;490;2611.89;1.000
6134;Andrzej;Zieliński;Wrocław;257;1813.06;0.327
6135;Ewa;Mazur;Lublin;29;4640.85;1.000
6136;Andrzej;Mazur;Kraków;129;2484.17;0.446
6137;Ewa;Lewandowski;Gdańsk;259;682.04;1.000
6138;Agnieszka;Zieliński;Gdańsk;71;3535.34;0.353
6139;Joanna;Wiśniewski;Wrocław;211;4175.16;0.773
6140;Jan;Lewandowski;Warszawa;436;4815.60;0.600
6141;Magdalena;Szymański;Poznań;125;3898.20;0.299
6142;Magdalena;Zieliński;Katowice;252;1903.57;1.000
6143;Jan;Lewandowski;Gdańsk;363;2018.62;0.820
6144;Tomasz;Woźniak;Gdańsk;420;4366.26;0.300
6145;Paweł;Dąbrowski;Poznań;433;709.32;0.657
6146;Tomasz;Kozłowski;Warszawa;87;1615.45;1.000
6147;Marcin;Kozłowski;Kraków;391;3889.36;1.000
6148;Krzysztof;Kozłowski;Warszawa;171;3916.61;0.132
6149;Piotr;Lewandowski;Wrocław;202;3842.87;0.986
6150;Tomasz;Kamiński;Kraków;13;949.39;0.213
6151;Magdalena;Wójcik;Wrocław;250;2111.76;0.317
6152;Agnieszka;Zieliński;Lublin;162;2624.19;1.000
6153;Ewa;Szymański;Katowice;3;1875.10;0.139
6154;Maria;Kwiatkowski;Wrocław;412;912.34;0.567
6155;Magdalena;Kozłowski;Łódź;184;2374.98;1.000
6156;Ewa;Kowalczyk;Katowice;441;3200.30;0.863
6157;Magdalena;Dąbrowski;Warszawa;311;718.30;0.528
6158;Ewa;Kwiatkowski;Kraków;271;807.29;0.144
6159;Anna;Kowalczyk;Poznań;80;1036.70;0.406
6160;Agnieszka;Woźniak;Lublin;252;213.32;1.000
6161;Katarzyna;Zieliński;Warszawa;285;2932.94;0.415
6162;Barbara;Kozłowski;Wrocław;164;4890.03;0.521
6163;Marcin;Szymański;Lublin;397;133.65;1.000
6164;Barbara;Woźniak;Warszawa;7;1724.32;0.702
6165;Agnieszka;Szymański;Poznań;53;62.89;0.889
6166;Tomasz;Kowalczyk;Wrocław;353;897.57;0.994
6167;Agnieszka;Mazur;Łódź;366;4510.61;0.336
6168;Marcin;Woźniak;Katowice;206;132.71;0.611
6169;Magdalena;Szymański;Gdańsk;189;4113.75;0.596
6170;Tomasz;Szymański;Poznań;188;4819.48;1.000
6171;Paweł;Wójcik;Gdańsk;263;1935.23;0.780
6172;Michał;Zieliński;Lublin;441;4596.01;0.855
6173;Paweł;Wójcik;Poznań;431;3334.36;0.656
6174;Piotr;Kowalski;Kraków;114;4291.46;0.912
6175;Andrzej;Zieliński;Katowice;312;690.74;0.231
6176;Krzysztof;Mazur;Lublin;297;2895.35;0.481
6177;Andrzej;Kwiatkowski;Poznań;187;2686.84;0.479
6178;Joanna;Mazur;Gdańsk;221;2724.10;0.613
6179;Krzysztof;Kowalczyk;Katowice;252;514.32;0.884
6180;Agnieszka;Nowak;Wrocław;13;543.88;0.835
6181;Maria;Dąbrowski;Wrocław;464;3928.07;1.000
6182;Joanna;Woźniak;Gdańsk;312;925.78;0.312
6183;Maria;Nowak;Kraków;98;1956.01;0.106
6184;Maria;Woźniak;Katowice;427;867.55;0.998
6185;Barbara;Kwiatkowski;Katowice;362;2355.39;1.000
6186;Marcin;Kowalczyk;Warszawa;495;2428.10;1.000
6187;Barbara;Dąbrowski;Kraków;499;639.58;0.869
6188;Piotr;Nowak;Gdańsk;-280;4340.03;0.704
6189;Ewa;Kamiński;Kraków;289;1987.86;0.230
6190;Barbara;Kwiatkowski;Wrocław;458;94.69;0.911
6191;Magdalena;Wiśniewski;Poznań;133;3264.91;0.103
6192;Magdalena;Zieliński;Kraków;383;4860.12;0.843
6193;Joanna;Kozłowski;Wrocław;321;3867.21;1.000
6194;Tomasz;Nowak;Poznań;188;2113.82;1.000
6195;Marcin;Kozłowski;Katowice;499;2740.20;0.548
6196;Maria;Woźniak;Łódź;175;2462.21;0.426
6197;Joanna;Kowalczyk;Lublin;383;3895.17;1.000
6198;Katarzyna;Kwiatkowski;Poznań;481;4439.68;1.000
6199;Tomasz;Kowalski;Gdańsk;409;840.93;0.896
6200;Andrzej;Mazur;Brak danych;243;2393.15;0.171
6201;Agnieszka;Kozłowski;Wrocław;170;3716.49;0.867
6202;Jan;Dąbrowski;Gdańsk;167;1670.89;1.000
6203;Barbara;Kamiński;Warszawa;233;3351.40;1.000
6204;Piotr;Wiśniewski;Warszawa;1;253.60;1.000
6205;Michał;Dąbrowski;Wrocław;82;4409.24;0.331
6206;Barbara;Kwiatkowski;Katowice;451;4763.91;0.441
6207;Piotr;Kozłowski;Poznań;394;3570.50;1.000
6208;Maria;Mazur;Katowice;206;4597.17;1.000
6209;Piotr;Mazur;Warszawa;141;903.57;0.327
6210;Michał;Woźniak;Katowice;155;2490.09;0.262
6211;Jan;Dąbrowski;Kraków;410;4048.46;1.000
6212;Piotr;Kowalski;Warszawa;233;4900.96;0.195
6213;Magdalena;Wiśniewski;Gdańsk;197;1336.55;0.439
6214;Marcin;Kowalczyk;Lublin;411;2723.83;0.261
