id;imie;nazwisko;miasto;ilosc;kwota;wpsolczynnik
4268;Anna;Wiśniewski;Wwa;443;2033.36;0,491
4269;Tomasz;Wiśniewski;Wrocław;305;4710.86;0.715
4270;Anna;Nowak;wroclaw;393;4138,41;0.758
4271;Magdalena;Mazur;Wroclaw;256;402.15;1.11
4272;Ewa;Wójcik;POZNAŃ;58;3593.17;0,76
4273;Barbara;Wójcik;gdansk;143;1986.59;0.271
4274;Jan;Kamiński;gdansk;1;1906.93;0.528
4275;Andrzej;Dąbrowski;Poznań;405;2999,22;0.797
4276;Piotr;Wójcik;Krakow;13;1902.98;1,31
4277;Joanna;Wójcik;WROCŁAW;-85;2445.33;0.912
4278;Marcin;Nowak;lublin;275;4297.54 zł;1.455
4279;Piotr;Kwiatkowski;KATOWICE;232;620.21;0.762
4280;Anna;Kowalczyk;LODZ;246;736,65;1,014
4281;Paweł;Kowalczyk;warszawa;146;648.38;1.282
4282;Michał;Kowalski;krakow;1;961.65;0.645
4283;Barbara;Nowak;katowice;41;542.21;0.269
4284;Jan;Wójcik;poznan;261;4620.04;1,12
4285;Krzysztof;Lewandowski;krakow;394;430,72;0.182
4286;Piotr;Kozłowski;Warszawa ;130;3505.80;0.233
4287;Paweł;Woźniak;gdansk;441;481.24;0.436
4288;Krzysztof;WIŚNIEWSKI;Gdańsk;3;2345.84;0,286
4289;Michał;Dąbrowski;KATOWICE;284;4023.59;0.696
4290;Katarzyna;Wójcik;Wroclaw;abc;4305,58;1.361
4291;Piotr;Lewandowski;poznan;351;30.13;1.484
4292;Krzysztof;Kwiatkowski;łódź;276 szt;1974.60;0,575
4293;Anna;Szymański;LUBLIN;492;2613.31;0.784
4294;Magdalena;Zieliński;Katowice;267;2885.03;0.593
4295;Marcin;Zieliński;KATOWICE;428;4310,24;1.394
4296;Agnieszka;Kowalczyk;Krakow ;102;716.81;1,269
4297;Agnieszka;Zieliński;Krakow;194;4380.25;1.096
4298;Agnieszka;Kwiatkowski;gdansk;5;3483.36;0.341
4299;Marcin;Nowak;łódź;329;1689.86;1.062
4300;  Ewa ;Kowalski;katowice;263;578,58;1.234.5
4301;Jan;Kozłowski;katowice;117;1476.85 zł;1.073
4302;Katarzyna;Kowalczyk;Warszawa ;181;1510.83;0.212
4303;Maria;Kowalski;warszawa;174;3264.03;0.93
4304;Magdalena;Nowak;WROCŁAW;483;2667.49;0,822
4305;Marcin;Mazur;Gdańsk;223;3093,83;
4306;Krzysztof;Kowalczyk;lublin;87;2554.07;1.317
4307;piotr;Wójcik;poznan;491;192.75;1.148
4308;Barbara;Mazur;Kraków ;87;3231.64;0,106
4309;Jan;Kozłowski;lublin;332;4963.46;1.055
4310;Magdalena;Mazur;Lubln;356;3765,24;1.055
4311;Krzysztof;Kamiński;katowice;453;2816.88;0.859
4312;Magdalena;Kozłowski;WARSZAWA;86;1532.24;81%
4313;Jan;Wiśniewski;LUBLIN;316;4672.06;0.185
4314;Magdalena;Lewandowski;Kraków ;406;1961.71;0.539
4315;Marcin;Lewandowski;Warszawa ;16;4864,45;0.485
4316;Maria;Szymański;Poznan;102;563.28;0,284
4317;Paweł;Dąbrowski;warszawa;263;2124.53;1.368
4318;Barbara;Lewandowski;Wroclaw;140;3904.94;0.458
4319;Ewa;Szymański;Łódź;1;2804.51;0.985
4320;;Kozłowski;Lubln;106;2 041.86;0,51
4321;Barbara;Kamiński;wroclaw;357;4629.22;1.443
4322;Paweł;Zieliński;Gdansk;244;343.84;1.229
4323;Marcin;Nowak;LODZ;74;2551.04;0.544
4324;Michał;Zieliński;LUBLIN;208;222.32 zł;1,056
4325;Agnieszka;Kwiatkowski;Gdansk;23;4092,29;0.211
4326;Joanna;Kwiatkowski;łódź;39;4235.05;0.914
4327;Anna;Kamiński; Warszawa;124;3474.46;0.756
4328;Joanna;Mazur;Łódź;430;3480.59;0,852
4329;Krzysztof;Lewandowski;Lubln;337 szt;0;0.991
4330;Ewa;Szymański;krakow;481;3965,79;1.199
4331;Joanna;Kamiński;Gdańsk;219;3106.12;1.082
4332;Paweł;Kamiński;Poznań;142;593.52;0,287
4333;Ewa;Wójcik;KATOWICE;18;936.91;0.923
4334;Michał;Kamiński;łódź;469;3024.75;0.607
4335;Joanna;Lewandowski; Warszawa;496;4467,45;0.398
4336;Krzysztof;Kwiatkowski;Wrocław;202;1617.53;0,23
4337;Magdalena;Kowalczyk;katowice;210;2728.72;0.562
4338;Piotr;Kozłowski;warszawa;273;344.27;0.274
4339;Agnieszka;Szymański;Katowic;366;3726.47;1.422
4340;Agnieszka;Kwiatkowski  ;LUBLIN;131;4172,85;0,571
4341;Tomasz;Lewandowski;Katowice;401;4583.59;1.033
4342;Paweł;Dąbrowski;POZNAŃ;199;1991.23;0.17
4343;Tomasz;Dąbrowski;Wwa;306;650.42;0.729
4344;Andrzej;Mazur; Warszawa;16;2598.06;0,615
4345;Jan;Wójcik;Gdansk;188;1375,20;0.162
4346;Magdalena;Woźniak;Krakow;369;4527.02;0.409
4347;Agnieszka;Kozłowski;Krakow;169;422.25 zł;1.394
4348;Andrzej;Wójcik;LODZ;16;445.50;1,481
4349;Agnieszka;Szymański;krakow;266;222.35;0.955
4350;  Jan ;Zieliński;Gdansk;363;;1.281
4351;Tomasz;Mazur;Warszwa;261;1450.82;0.338
4352;Piotr;KOZŁOWSKI;Gdańsk;421;2869.43;0,641
4353;Joanna;Kamiński;LUBLIN;373;782.02;1.321
4354;Magdalena;Mazur;lublin;22;3029.79;0.171
4355;Tomasz;Wójcik;gdansk;485;2450,86;0.771
4356;Ewa;Szymański;Poznan;236;3069.53;0,733
4357;Andrzej;Kozłowski;Wrocław;381;4285.78;0.523
4358;Agnieszka;Kowalski;LUBLIN;246;4095.20;0.772
4359;Ewa;Mazur;LUBLIN;31;4884.90;0.381
4360;Andrzej;Wójcik;KATOWICE;239;560,15;1,308
4361;Joanna;Nowak;Wwa;352;2265.14;0.613
4362;Paweł;Wójcik;Gdańsk;161;718.57;0.635
4363;Katarzyna;Kamiński; Warszawa;30;2515.93;1.096
4364;Paweł;Kamiński;Wroclaw;100;3037.00;1,078
4365;Anna;Wiśniewski;Poznań;241;3145,87;1.417
4366;Paweł;Kowalczyk;Poznań;303 szt;2002.98;0.628
4367;Anna;Kamiński;Kraków ;7;779.60;0.459
4368;Katarzyna;Mazur;Kraków ;-105;2870.49;0,536
4369;Barbara;Zieliński;Gdansk;233;2171.36;0.532
4370;Krzysztof;Kowalski;Katowic;392;3351,10 zł;1.196
4371;Piotr;Kamiński;lublin;32;1511.24;0.466
4372;Ewa;Kamiński;LUBLIN;463;436.03;0,359
4373;Krzysztof;Zieliński;WROCŁAW;13;3450.87;0.821
4374;Krzysztof;Kowalczyk; Warszawa;411;2172.28;1.262
4375;Magdalena;Kowalski;Wrocław;73;4773,24;0.767
4376;Ewa;Kowalski;GDAŃSK;478;4429.95;1,357
4377;Katarzyna;Dąbrowski;Gdańsk;398;914.27;1.27
4378;Andrzej;Wiśniewski;katowice;143;137.75;0.907
4379;Katarzyna;Nowak;GDAŃSK;255;2553.99;0.969
4380;ewa;Lewandowski;GDAŃSK;19;4 918.36;0,169
4381;Piotr;Wójcik;Wroclaw;46;2717.36;1.26
4382;Katarzyna;Lewandowski;poznan;69;310.29;1.409
4383;Paweł;Wiśniewski;katowice;420;4199.35;0.974
4384;Marcin;Zieliński; Warszawa;433;182.57;0,674
4385;Anna;Kamiński;Wrocław;272;140,67;0.73
4386;Jan;Kwiatkowski;warszawa;487;2249.40;0.243
4387;Magdalena;Wiśniewski;Poznań;241;1328.03;0.45
4388;Krzysztof;Kamiński;łódź;275;2065.00;1,049
4389;Tomasz;Mazur;Lodz;325;4576.85;0.224
4390;Anna;Kozłowski;krakow;149;4706,28;1.179
4391;Agnieszka;Wiśniewski;Wroclaw;176;2606.60;0.758
4392;Barbara;Nowak;LODZ;149;4526.09;0,147
4393;Magdalena;Dąbrowski;Poznań;134;4380.33 zł;0.297
4394;Joanna;Szymański;Łodz;471;1263.46;0.428
4395;Ewa;Szymański;Warszawa;404;3881,16;1.03
4396;Michał;Wójcik;LUBLIN;267;4598.80;0,885
4397;Krzysztof;Kwiatkowski;Kraków;10;3264.45;0.739
4398;Anna;Kamiński;Lublin;111;4584.89;0.318
4399;Michał;Kamiński;Katowic;414;1015.15;1.016
4400;  Barbara ;Szymański;;;3861,53;30%
4401;Ewa;Wójcik;GDAŃSK;275;2923.15;0.954
4402;Anna;Dąbrowski;Łodz;245;545.53;0.623
4403;Marcin;Wiśniewski;wroclaw;237 szt;2960.46;0.937
4404;Magdalena;Kamiński;lublin;429;4322.38;0,188
4405;Maria;Dąbrowski;GDAŃSK;41;2059,32;1.404
4406;Agnieszka;Zieliński;łódź;332;825.20;1.081
4407;Paweł;Lewandowski;Poznan;383;3744.03;0.372
4408;Andrzej;Kwiatkowski;KRAKÓW;144;3679.78;0,279
4409;Barbara;Zieliński;Gdańsk;310;1200.21;1.177
4410;Marcin;Kamiński;WROCŁAW;84;3432,03;
4411;Joanna;Lewandowski;Katowic;89;4141.45;0.506
4412;Krzysztof;Zieliński;Katowice;394;2249.12;0,901
4413;Katarzyna;Kwiatkowski;Gdańsk;342;4591.88;1.434
4414;Maria;Szymański;lublin;196;4074.96;0.649
4415;Maria;Lewandowski;POZNAŃ;52;2450,30;0.62
4416;Joanna;WOŹNIAK;Katowice;179;1029.39 zł;0,441
4417;Joanna;Nowak;WARSZAWA;24;1772.88;0.792
4418;Marcin;Kowalczyk;Warszwa;356;404.34;0.431
4419;Katarzyna;Kwiatkowski;lublin;314;1890.87;0.299
4420;Piotr;Kowalczyk;WARSZAWA;abc;4238,49;0,564
4421;Michał;Kamiński;gdansk;440;3828.09;1.421
4422;Anna;Zieliński;Katowic;367;926.87;0.969
4423;Michał;Nowak;łódź;343;3532.32;0.548
4424;Maria;Mazur;Warszawa ;488;4193.18;0,25
4425;Andrzej;Kowalski;Katowic;408;1701,79;0.621
4426;Tomasz;Wójcik;lublin;172;1266.60;1.146
4427;Tomasz;Kozłowski;KATOWICE;333;4882.42;0.49
4428;Jan;Wójcik;lublin;399;2081.35;0,747
4429;Anna;Kowalski;wroclaw;462;404.22;0.941
4430;Katarzyna;Woźniak;Warszawa ;459;3160,78;1.156
4431;Magdalena;Kowalczyk;Warszawa;305;2813.41;1.058
4432;Katarzyna;Kwiatkowski;Poznan;23;1973.40;1,379
4433;Katarzyna;Kwiatkowski;Krakow;367;4689.35;1.057
4434;Andrzej;Kozłowski;Lubln;202;4350.57;0.109
4435;Barbara;Zieliński;gdansk;73;2011,10;0.654
4436;Krzysztof;Kamiński;Warszawa;320;3239.63;0,965
4437;Maria;Kozłowski;lublin;445;3969.79;0.323
4438;Andrzej;Kozłowski;Wroclaw;144;2174.35;0.247
4439;Agnieszka;Mazur;Katowice;494;3602.13 zł;0.657
4440;;Dąbrowski;Krakow;123 szt;1 327.51;1,164
4441;Anna;Mazur;katowice;242;2130.66;1.043
4442;Krzysztof;Szymański;Wrocław;298;3275.69;0.723
4443;Marcin;Kamiński;Lubln;142;3755.17;0.52
4444;Maria;Kwiatkowski;Warszawa;67;1224.83;0,245
4445;Paweł;Lewandowski;LUBLIN;356;766,87;0.418
4446;Ewa;Wójcik;GDAŃSK;404;880.23;0.902
4447;Magdalena;Kowalczyk;Gdansk;251;3442.96;0.563
4448;Jan;Kamiński;gdansk;351;4667.47;0,419
4449;Maria;Woźniak;Łódź;8;3674.69;1.485
4450;  Piotr ;Szymański;Gdansk;156;907,98;1.457
4451;Krzysztof;Wójcik;krakow;433;1517.59;0.719
4452;Krzysztof;Dąbrowski;Łódź;80;1910.60;1,081
4453;marcin;Dąbrowski;LUBLIN;455;4374.21;1.379
4454;Marcin;Nowak;KATOWICE;12;2521.55;0.326
4455;Piotr;Woźniak;krakow;238;3006,22;0.33
4456;Jan;Wiśniewski;Krakow ;257;3765.20;0,873
4457;Jan;Dąbrowski;Gdansk;389;1046.11;0.945
4458;Magdalena;Wiśniewski;WROCŁAW;137;288.82;0.917
4459;Andrzej;Kowalczyk;Wroclaw;-360;1467.00;0.704
4460;Ewa;Kwiatkowski;wroclaw;319;2348,79;1,291
4461;Marcin;Wójcik;lublin;296;4790.85;1.041
4462;Krzysztof;Kwiatkowski;KATOWICE;165;4543.12 zł;1.284
4463;Joanna;Kowalczyk;Lublin;418;4541.60;0.355
4464;Katarzyna;Kamiński;Krakow;132;2694.43;0,628
4465;Andrzej;Lewandowski;Krakow;173;2712,09;0.66
4466;Agnieszka;Wiśniewski;poznan;422;3915.79;0.502
4467;Krzysztof;Lewandowski;LODZ;59;4515.99;0.193
4468;Joanna;Kowalski;Kraków;59;2073.48;0,946
4469;Tomasz;Kwiatkowski;lublin;217;1151.42;0.11
4470;Joanna;Woźniak;WROCŁAW;405;1658,16;0.792
4471;Anna;Wójcik;WARSZAWA;274;2643.01;0.624
4472;Joanna;Zieliński;Kraków ;196;1464.35;0,663
4473;Agnieszka;Dąbrowski;łódź;241;4589.52;0.788
4474;Katarzyna;Zieliński;poznan;231;3290.71;0.17
4475;Magdalena;Kamiński;poznan;300;4150,79;1.252
4476;Paweł;Szymański;Wrocław;299;1158.58;0,707
4477;Katarzyna;Szymański; Warszawa;52 szt;1181.58;1.478
4478;Agnieszka;Nowak;Wrocław;424;910.60;0.532
4479;Jan;Lewandowski;Wrocław;330;1638.12;0.36
4480;Agnieszka;WÓJCIK  ;Łodz;259;811,12;1,028
4481;Krzysztof;Wójcik;Wrocław;449;4920.23;0.878
4482;Anna;Kowalski;Krakow ;306;1561.08;0.521
4483;Magdalena;Kowalski;POZNAŃ;405;159.33;0.936
4484;Ewa;Kamiński;poznan;255;2173.65;0,589
4485;Anna;Nowak;Łódź;200;4501,98 zł;0.997
4486;Joanna;Kamiński;poznan;173;1566.30;1.455
4487;Maria;Zieliński;Lublin;168;2815.08;0.407
4488;Jan;Kozłowski;Warszwa;55;2679.13;35%
4489;Katarzyna;Zieliński;LODZ;168;1271.89;0.343
4490;Maria;Woźniak;lublin;387;1641,97;0.618
4491;Michał;Kowalski;GDAŃSK;446;3143.67;0.218
4492;Michał;Mazur;Lubln;261;2125.63;0,384
4493;Ewa;Kwiatkowski;GDAŃSK;289;1741.05;1.08
4494;Agnieszka;Kowalski;Warszawa ;334;4079.06;1.141
4495;Maria;Kamiński;łódź;263;;0.421
4496;Katarzyna;Mazur;Wroclaw;290;4747.27;1,13
4497;Magdalena;Zieliński;GDAŃSK;235;3848.03;1.096
4498;Paweł;Kwiatkowski;Krakow;358;3084.78;0.775
4499;Piotr;Zieliński;katowice;339;4064.65;1.076
4500;  Michał ;Zieliński;KATOWICE;232;854.15;0,753
4501;Maria;Szymański;Wrocław;89;4141.71;1.056
4502;Jan;Dąbrowski;Kraków ;297;922.33;0.305
4503;Piotr;Wójcik;LUBLIN;170;4145.96;0.33
4504;Anna;Wiśniewski;LUBLIN;13;4108.18;0,539
4505;Maria;Wiśniewski;warszawa;252;3434,70;1.033
4506;Katarzyna;Dąbrowski;Warszawa;398;797.27;1.178
4507;Paweł;Kowalski;Kraków;404;2522.08;0.14
4508;Tomasz;Kowalski;Wrocław;309;58.69 zł;1,437
4509;Katarzyna;Mazur;Lubln;74;4045.87;1.134
4510;Krzysztof;Woźniak;Kraków;;2257,74;1.181
4511;Andrzej;Szymański;warszawa;382;146.90;0.341
4512;Jan;Wiśniewski;Lubln;495;4334.75;0,967
4513;Michał;Kowalski;Lublin;391;1059.83;0.192
4514;Agnieszka;Dąbrowski;Wrocław;312 szt;2140.99;0.155
4515;Paweł;Kowalski;Poznan;415;4579,93;1.234.5
4516;Anna;Kwiatkowski;Lublin;454;2877.05;0,936
4517;Maria;Szymański;Wroclaw;262;919.94;0.243
4518;Joanna;Kowalczyk;Lublin;428;2222.59;0.942
4519;Piotr;Kowalski;Krakow;495;3853.80;0.288
4520;Andrzej;Kowalczyk;wroclaw;448;275,41;0,956
4521;Maria;Wójcik;Kraków;488;522.55;0.53
4522;Michał;Nowak;Warszawa ;210;4025.91;0.337
4523;Katarzyna;Woźniak;WROCŁAW;110;1289.82;0.918
4524;Andrzej;Wójcik;Wroclaw;263;676.06;1,031
4525;Barbara;Kozłowski;Krakow ;89;809,71;0.994
4526;maria;Kozłowski;Poznan;469;2945.29;0.294
4527;Barbara;Kowalski;łódź;392;3532.37;1.24
4528;Magdalena;Zieliński;LODZ;470;3212.73;0,819
4529;Marcin;Wiśniewski;Lodz;6;4311.27;0.488
4530;Michał;Kowalski;Wroclaw;272;3466,78;0.667
4531;Ewa;Lewandowski;Poznań;491;1884.87 zł;0.143
4532;Ewa;Wójcik;Warszawa;468;2366.16;0,993
4533;Piotr;Lewandowski;warszawa;131;1985.80;0.915
4534;Joanna;Nowak;Gdańsk;128;2122.57;1.297
4535;Paweł;Kozłowski;Poznan;180;781,54;1.101
4536;Paweł;Dąbrowski;Kraków;412;322.55;0,373
4537;Piotr;Wójcik;Krakow;473;4460.41;1.112
4538;Andrzej;Kozłowski;Poznan;88;1718.65;0.849
4539;Maria;Wiśniewski;łódź;307;413.99;1.254
4540;Magdalena;Mazur;Katowic;364;3633,49;0,601
4541;Paweł;Kowalczyk;Kraków;341;1327.75;1.083
4542;Joanna;Kwiatkowski;KATOWICE;269;4865.76;0.899
4543;Michał;Lewandowski;lublin;417;203.68;1.024
4544;Andrzej;WOŹNIAK;KATOWICE;237;1261.36;1,329
4545;Piotr;Kamiński;KRAKÓW;55;3928,24;0.86
4546;Michał;Kamiński;WROCŁAW;53;2938.48;0.651
4547;Michał;Kowalczyk;Katowic;363;1782.55;0.544
4548;Tomasz;Kowalczyk;Wrocław;194;3918.63;0,611
4549;Maria;Wiśniewski;KATOWICE;308;678.36;0.987
4550;  Andrzej ;Woźniak;Krakow ;abc;4517,71;0.542
4551;Barbara;Mazur;Warszawa;183 szt;2415.94;0.285
4552;Maria;Kowalczyk;LUBLIN;436;2769.35;0,811
4553;Agnieszka;Szymański;wroclaw;286;4981.84;0.643
4554;Magdalena;Dąbrowski;KATOWICE;41;1995.66 zł;0.211
4555;Piotr;Nowak;KATOWICE;439;842,77;0.529
4556;Tomasz;Mazur;lublin;10;1567.88;0,46
4557;Jan;Nowak;Krakow;168;2157.36;0.443
4558;Tomasz;Kamiński;LUBLIN;249;902.59;0.714
4559;Jan;Kwiatkowski;krakow;166;3190.68;0.741
4560;;Wiśniewski;poznan;413;3 691.65;1,29
4561;Krzysztof;Lewandowski;WROCŁAW;438;1399.68;0.122
4562;Paweł;Kwiatkowski;KATOWICE;1;148.52;0.134
4563;Agnieszka;Lewandowski;lublin;465;111.29;1.316
4564;Andrzej;Wójcik;Lodz;266;3147.95;1,007
4565;Michał;Mazur;LODZ;63;3693,71;1.336
4566;Andrzej;Wójcik;Krakow;427;4889.35;1.11
4567;Magdalena;Kozłowski;Warszawa ;100;633.52;0.511
4568;Jan;Woźniak;GDAŃSK;138;3122.78;0,204
4569;Agnieszka;Woźniak;Kraków;428;828.17;0.84
4570;Marcin;Nowak;Gdansk;411;1412,37;1.088
4571;Andrzej;Kowalczyk;WARSZAWA;226;563.65;0.73
4572;Piotr;Mazur;KATOWICE;408;417.23;0,198
4573;Jan;Kozłowski;Warszawa;447;1889.85;0.313
4574;Marcin;Mazur;Warszawa;260;4781.32;0.405
4575;Barbara;Kowalski;Łódź;147;798,72;0.337
4576;Joanna;Nowak;poznan;475;3228.88;65%
4577;Ewa;Wójcik;Kraków;237;3026.43 zł;1.097
4578;Anna;Mazur;Katowic;79;3525.22;0.696
4579;Joanna;Wójcik; Warszawa;198;990.90;1.373
4580;Michał;Kowalski;Krakow;329;2936,64;1,493
4581;Katarzyna;Mazur;Katowice;72;4204.96;1.477
4582;Tomasz;Dąbrowski;Gdansk;188;937.01;0.144
4583;Agnieszka;Lewandowski;Kraków;219;987.19;1.238
4584;Katarzyna;Kowalski;KRAKÓW;340;1686.55;1,186
4585;Andrzej;Kowalski;KATOWICE;421;2375,64;0.951
4586;Piotr;Zieliński; Warszawa;91;3472.51;0.24
4587;Joanna;Kowalczyk;Warszwa;490;3576.28;1.328
4588;Marcin;Woźniak;Lodz;463 szt;2157.19;1,448
4589;Barbara;Nowak;wroclaw;491;3932.98;0.603
4590;Barbara;Kozłowski;Lublin;308;367,54;0.191
4591;Andrzej;Mazur;Warszawa;255;2764.03;0.895
4592;Ewa;Kowalski;Poznań;273;2547.91;0,107
4593;Magdalena;Kowalczyk;Katowic;172;3584.80;0.912
4594;Marcin;Zieliński;łódź;301;2491.40;1.193
4595;Marcin;Mazur;KATOWICE;243;3038,82;0.498
4596;Joanna;Nowak;LUBLIN;228;2462.61;1,243
4597;Piotr;Kamiński;Poznan;370;1666.84;1.194
4598;Ewa;Szymański;Krakow ;152;3982.55;0.286
4599;ewa;Mazur; Warszawa;422;3762.85;1.228
4600;  Joanna ;Kwiatkowski;;171;1279,82 zł;0,845
4601;Michał;Kowalczyk;Kraków ;259;3470.90;1.167
4602;Barbara;Wiśniewski;Krakow;94;1805.83;0.949
4603;Agnieszka;Kamiński;Poznań;317;4579.07;1.212
4604;Krzysztof;Nowak;poznan;265;3562.03;0,577
4605;Tomasz;Kozłowski;GDAŃSK;169;99,33;0.6
4606;Paweł;Zieliński;Lodz;252;4081.05;1.106
4607;Paweł;Szymański;Gdansk;431;775.95;0.247
4608;Katarzyna;WIŚNIEWSKI;Poznan;323;437.95;1,462
4609;Joanna;Nowak;KRAKÓW;146;3747.36;1.231
4610;Katarzyna;Kozłowski;GDAŃSK;437;3769,10;0.115
4611;Piotr;Nowak;Katowice;491;4117.40;1.294
4612;Barbara;Zieliński;LODZ;174;846.95;1,417
4613;Katarzyna;Wójcik;Wroclaw;390;2175.44;0.484
4614;Marcin;Nowak;Kraków;42;4147.64;0.228
4615;Ewa;Wójcik;katowice;33;4449,02;1.182
4616;Anna;Dąbrowski;GDAŃSK;88;1999.22;0,165
4617;Michał;Zieliński;katowice;429;2469.52;0.799
4618;Paweł;Zieliński;Lubln;106;2877.93;0.451
4619;Michał;Kowalski;Krakow;484;320.17;0.844
4620;Katarzyna;Szymański  ;katowice;;4 226.34;
4621;Ewa;Wójcik;Krakow;400;1699.60;1.021
4622;Joanna;Dąbrowski;gdansk;271;4765.86;1.251
4623;Joanna;Lewandowski;Kraków;181;4525.67 zł;1.324
4624;Tomasz;Kowalczyk;katowice;263;3982.97;0,263
4625;Jan;Wiśniewski;Krakow ;325 szt;221,05;0.59
4626;Krzysztof;Wiśniewski;wroclaw;353;3203.62;0.2
4627;Anna;Dąbrowski;GDAŃSK;214;1776.16;0.448
4628;Marcin;Kowalczyk;Poznań;267;3123.30;0,209
4629;Agnieszka;Kowalski;Krakow ;447;961.90;1.388
4630;Magdalena;Mazur;GDAŃSK;66;3838,03;1.331
4631;Marcin;Mazur;Lodz;401;4725.82;1.107
4632;Paweł;Wójcik;Wrocław;144;1820.16;1,474
4633;Anna;Kozłowski;wroclaw;348;2033.08;1.221
4634;Magdalena;Mazur;Krakow ;319;4828.47;0.6
4635;Ewa;Dąbrowski;Wrocław;431;4567,46;1.471
4636;Krzysztof;Kwiatkowski;Wroclaw;413;3550.23;1,487
4637;Agnieszka;Kowalczyk;gdansk;16;4465.74;0.201
4638;Anna;Kowalczyk;Katowice;313;908.24;1.295
4639;Ewa;Nowak;katowice;330;2190.57;0.966
4640;Paweł;Dąbrowski;warszawa;185;;0,224
4641;Magdalena;Kowalczyk;Wroclaw;-228;3190.38;0.882
4642;Magdalena;Dąbrowski; Warszawa;494;4164.26;0.596
4643;Agnieszka;Kwiatkowski;Wrocław;306;4103.33;0.343
4644;Marcin;Lewandowski;Poznan;44;3731.36;1,269
4645;Tomasz;Nowak;GDAŃSK;497;1301,37;0.76
4646;Katarzyna;Kamiński;łódź;202;517.46 zł;0.969
4647;Jan;Kwiatkowski;KATOWICE;459;2323.36;0.268
4648;Jan;Kwiatkowski;Łódź;321;1706.16;1,118
4649;Magdalena;Kozłowski;Poznań;498;441.28;1.245
4650;  Jan ;Kowalczyk;Kraków;127;2592,65;0.37
4651;Andrzej;Woźniak;lublin;390;3085.85;0.944
4652;Krzysztof;Kamiński;WROCŁAW;152;4601.82;1,249
4653;Andrzej;Wiśniewski;Wrocław;339;76.32;0.723
4654;Krzysztof;Wiśniewski;KATOWICE;276;708.04;1.073
4655;Maria;Kozłowski;KATOWICE;239;1955,83;0.851
4656;Piotr;Woźniak;Warszawa;430;4866.29;1,355
4657;Jan;Wójcik;Wrocław;227;3445.61;0.459
4658;Magdalena;Nowak;Lubln;215;4947.27;1.053
4659;Katarzyna;Wójcik;Kraków;414;1977.50;0.979
4660;Andrzej;Dąbrowski;Łódź;89;2476,56;0,841
4661;Barbara;Dąbrowski;Katowice;294;1608.61;0.624
4661;Katarzyna;Wójcik;Gdańsk;173 szt;0;0.437
4663;Anna;Szymański;Wwa;133;1188.03;0.287
4664;Anna;Kwiatkowski;KRAKÓW;144;2134.56;22%
4665;Agnieszka;Mazur;Kraków ;100;1881,63;0.716
4666;Magdalena;Mazur;Kraków ;435;2543.71;0.139
4667;Tomasz;Lewandowski;POZNAŃ;183;508.47;0.303
4668;Marcin;Woźniak;POZNAŃ;168;2513.71;0,728
4669;Ewa;Kowalczyk;Gdansk;275;935.40 zł;0.973
4670;Magdalena;Kowalski;gdansk;31;386,13;0.847
4671;Paweł;Dąbrowski;LODZ;363;4474.39;0.561
4672;magdalena;KOWALSKI;lublin;194;2766.17;0,685
4673;Maria;Zieliński;lublin;96;2801.06;0.851
4674;Tomasz;Kozłowski;Gdansk;364;2311.59;0.962
4675;Jan;Mazur;KATOWICE;2;4286,92;0.523
4676;Barbara;Wiśniewski;Wrocław;230;914.25;1,349
4677;Anna;Wójcik;Kraków ;357;3954.94;1.203
4678;Marcin;Woźniak;Poznań;358;492.59;0.662
4679;Agnieszka;Kwiatkowski;Lublin;484;3801.68;0.225
4680;;Kamiński;Poznań;abc;3 453.18;0,239
4681;Barbara;Nowak;WROCŁAW;173;3899.68;0.799
4682;Marcin;Wiśniewski;poznan;194;2184.36;0.512
4683;Tomasz;Woźniak;POZNAŃ;269;530.48;0.954
4684;Barbara;Zieliński;LUBLIN;328;4476.47;0,741
4685;Joanna;Kozłowski;katowice;282;1958,64;1.106
4686;Joanna;Wójcik;LODZ;227;1667.65;0.973
4687;Agnieszka;Wiśniewski;krakow;439;3330.66;0.491
4688;Paweł;Nowak;Gdansk;334;1836.42;0,488
4689;Katarzyna;Wójcik;LODZ;414;2495.28;1.429
4690;Maria;Kozłowski;Wrocław;353;4622,00;0.747
4691;Jan;Woźniak;Katowic;167;2857.71;0.697
4692;Agnieszka;Kozłowski;wroclaw;233;4551.74 zł;0,544
4693;Tomasz;Zieliński;Lubln;362;2216.94;0.975
4694;Joanna;Kozłowski;Katowic;259;3802.52;0.116
4695;Piotr;Woźniak;POZNAŃ;237;2223,26;1.195
4696;Tomasz;Mazur;Lodz;42;1598.17;1,194
4697;Piotr;Mazur;krakow;22;1710.71;1.447
4698;Magdalena;Wójcik;Wroclaw;156;3311.89;0.134
4699;Tomasz;Wójcik;WROCŁAW;80 szt;3644.34;1.353
4700;  Piotr ;Szymański;KRAKÓW;467;4172,63;0,875
4701;Joanna;Lewandowski;krakow;272;3331.65;1.211
4702;Tomasz;Wiśniewski;WARSZAWA;245;1769.22;0.793
4703;Barbara;Wiśniewski;LODZ;339;1488.09;1.356
4704;Marcin;Lewandowski;Katowice;284;2748.30;1,292
4705;Michał;Kwiatkowski;Poznań;7;3760,91;0.886
4706;Katarzyna;Zieliński;katowice;96;3467.31;1.22
4707;Tomasz;Zieliński;WROCŁAW;232;1258.37;0.619
4708;Anna;Kamiński;Wrocław;15;677.54;1,389
