nr_zamowienia;data_zamowienia;klient;miasto;wojewodztwo;kategoria;produkt;ilosc;cena_jedn;rabat_proc;wartosc;status
ZAM/2024/06400;2024-04-07;Piotr Piotrowski;Szczecin;zachodniopomorskie;Odzież;Sweter;12;4969,66;0;59635,92;Anulowane
ZAM/2024/06401;2024-07-07;Ewa Grabowski;Warszawa;mazowieckie;Meble;Regał;6;262,85;20;1261,68;Anulowane
ZAM/2024/06402;2024-05-30;Robert Kwiatkowski;Łódź;łódzkie;AGD;Czajnik;34;4990,44;5;161191,21;Zrealizowane
ZAM/2024/06403;2024-05-05;Maria Szymański;Poznań;wielkopolskie;Odzież;Sweter;22;3355,75;10;66443,85;Anulowane
ZAM/2024/06404;2025-03-22;Paweł Kwiatkowski;Kraków;małopolskie;Książki;Poradnik kuchnia;38;2800,93;5;101113,57;Zwrot
ZAM/2024/06405;2025-03-18;Jan Zieliński;Wrocław;dolnośląskie;Elektronika;Słuchawki BT;48;1203,75;0;57780,00;Anulowane
ZAM/2024/06406;2024-07-06;Ewa Zieliński;Rzeszów;podkarpackie;Odzież;Koszula bawełna;19;3346,00;5;60395,30;W trakcie
ZAM/2024/06407;2025-02-19;Piotr Dąbrowski;Szczecin;zachodniopomorskie;Zabawki;Lalka;15;268,47;15;3422,99;Zwrot
ZAM/2024/06408;2024-07-11;Paweł Grabowski;Rzeszów;podkarpackie;Zabawki;Lalka;12;2917,63;20;28009,25;W trakcie
ZAM/2024/06409;2024-01-10;Magdalena Michalski;Rzeszów;podkarpackie;Elektronika;Laptop Pro;2;917,36;5;1742,98;Anulowane
ZAM/2024/06410;2024-06-30;Jan Piotrowski;Poznań;wielkopolskie;Zabawki;Puzzle 1000;47;439,02;10;18570,55;Zwrot
ZAM/2024/06411;2024-11-20;Krzysztof Woźniak;Łódź;łódzkie;Meble;Fotel biurowy;24;1159,65;0;27831,60;W trakcie
ZAM/2024/06412;2024-06-06;Tomasz Mazur;Gdańsk;pomorskie;Odzież;Koszula bawełna;25;4083,49;0;102087,25;W trakcie
ZAM/2024/06413;2025-05-27;Michał Kamiński;Białystok;podlaskie;Elektronika;Monitor 27;18;3614,48;10;58554,58;Anulowane
ZAM/2024/06414;2024-05-27;Katarzyna Piotrowski;Gdańsk;pomorskie;Odzież;Buty sportowe;11;4894,01;0;53834,11;Zwrot
ZAM/2024/06415;2024-12-10;Maria Kowalski;Poznań;wielkopolskie;Odzież;Koszula bawełna;10;1699,38;10;15294,42;W trakcie
ZAM/2024/06416;2024-01-01;Monika Wójcik;Gdańsk;pomorskie;AGD;Lodówka XL;2;1135,03;0;2270,06;W trakcie
ZAM/2024/06417;2024-04-22;Agnieszka Lewandowski;Poznań;wielkopolskie;Odzież;Koszula bawełna;50;3989,17;15;169539,73;Zrealizowane
ZAM/2024/06418;2025-04-18;Maria Szymański;Szczecin;zachodniopomorskie;Elektronika;Słuchawki BT;39;4313,37;0;168221,43;Zrealizowane
ZAM/2024/06419;2024-03-28;Agnieszka Kowalczyk;Katowice;śląskie;AGD;Odkurzacz Robot;28;1996,97;20;44732,13;W trakcie
ZAM/2024/06420;2024-07-12;Robert Michalski;Szczecin;zachodniopomorskie;Odzież;Koszula bawełna;30;4825,17;0;144755,10;Anulowane
ZAM/2024/06421;2024-01-05;Barbara Pawłowski;Szczecin;zachodniopomorskie;Spożywcze;Oliwa z oliwek;15;2498,56;0;37478,40;Zwrot
ZAM/2024/06422;2024-02-25;Ewa Wójcik;Rzeszów;podkarpackie;Ogród;Kosiarka;29;1926,33;0;55863,57;W trakcie
ZAM/2024/06423;2024-12-09;Michał Kowalski;Rzeszów;podkarpackie;Odzież;Sweter;47;2685,63;0;126224,61;Zwrot
ZAM/2024/06424;2024-08-12;Aleksandra Dąbrowski;Kraków;małopolskie;Spożywcze;Herbata zielona;1;2423,83;0;2423,83;W trakcie
ZAM/2024/06425;2025-05-11;Jan Kowalski;Szczecin;zachodniopomorskie;Spożywcze;Herbata zielona;30;4306,73;15;109821,61;Zrealizowane
ZAM/2024/06426;2025-04-18;Michał Woźniak;Kraków;małopolskie;Zabawki;Lalka;34;3092,69;0;105151,46;Zrealizowane
ZAM/2024/06427;2025-03-05;Łukasz Kamiński;Bydgoszcz;kujawsko-pomorskie;AGD;Pralka Eko;3;1110,28;15;2831,21;Zwrot
ZAM/2024/06428;2024-03-05;Łukasz Dąbrowski;Poznań;wielkopolskie;AGD;Czajnik;3;662,46;10;1788,64;Zwrot
ZAM/2024/06429;2024-12-19;Anna Woźniak;Białystok;podlaskie;AGD;Odkurzacz Robot;24;3034,03;0;72816,72;Zrealizowane
ZAM/2024/06430;2024-02-24;Joanna Michalski;Rzeszów;podkarpackie;Meble;Komoda;17;1869,65;0;31784,05;Anulowane
ZAM/2024/06431;2024-06-01;Barbara Kozłowski;Szczecin;zachodniopomorskie;Elektronika;Tablet Mini;20;4492,24;0;89844,80;Anulowane
ZAM/2024/06432;2024-06-05;Magdalena Krawczyk;Bydgoszcz;kujawsko-pomorskie;Elektronika;Monitor 27;49;600,48;10;26481,17;W trakcie
ZAM/2024/06433;2024-07-03;Katarzyna Grabowski;Rzeszów;podkarpackie;Zabawki;Lalka;34;2622,12;0;89152,08;Anulowane
ZAM/2024/06434;2024-04-12;Maria Grabowski;Wrocław;dolnośląskie;Odzież;Koszula bawełna;1;4961,39;0;4961,39;Zrealizowane
ZAM/2024/06435;2024-01-14;Michał Pawłowski;Łódź;łódzkie;Zabawki;Samochód RC;46;2196,76;0;101050,96;Zwrot
ZAM/2024/06436;2024-04-02;Krzysztof Kowalski;Białystok;podlaskie;Elektronika;Smartfon X;21;2051,89;0;43089,69;Zwrot
ZAM/2024/06437;2024-10-28;Marcin Kozłowski;Warszawa;mazowieckie;Książki;Atlas świata;5;713,45;0;3567,25;Zrealizowane
ZAM/2024/06438;2024-10-15;Barbara Nowak;Poznań;wielkopolskie;Elektronika;Laptop Pro;20;1588,82;10;28598,76;Zrealizowane
ZAM/2024/06439;2025-01-13;Ewa Piotrowski;Lublin;lubelskie;Odzież;Koszula bawełna;8;1347,55;15;9163,34;Anulowane
ZAM/2024/06440;2024-03-07;Joanna Krawczyk;Wrocław;dolnośląskie;Książki;Powieść kryminał;10;2091,77;20;16734,16;Anulowane
ZAM/2024/06441;2024-06-11;Michał Zieliński;Warszawa;mazowieckie;Odzież;Sukienka;40;4230,70;20;135382,40;Zrealizowane
ZAM/2024/06442;2024-01-14;Monika Pawłowski;Szczecin;zachodniopomorskie;Książki;Biografia;40;219,30;0;8772,00;Zrealizowane
ZAM/2024/06443;2025-02-22;Robert Krawczyk;Kraków;małopolskie;Zabawki;Gra planszowa;43;2412,37;20;82985,53;Zwrot
ZAM/2024/06444;2024-01-15;Tomasz Kowalski;Poznań;wielkopolskie;Książki;Powieść kryminał;25;3751,06;0;93776,50;Anulowane
ZAM/2024/06445;2024-09-25;Katarzyna Woźniak;Poznań;wielkopolskie;Elektronika;Monitor 27;41;917,02;10;33838,04;Zrealizowane
ZAM/2024/06446;2025-06-16;Anna Woźniak;Białystok;podlaskie;Zabawki;Puzzle 1000;32;906,50;0;29008,00;Zrealizowane
ZAM/2024/06447;2024-01-03;Michał Kozłowski;Szczecin;zachodniopomorskie;Meble;Szafa 3D;25;4234,24;0;105856,00;W trakcie
ZAM/2024/06448;2024-03-28;Agnieszka Pawłowski;Kraków;małopolskie;Meble;Regał;3;1344,10;20;3225,84;Anulowane
ZAM/2024/06449;2024-02-06;Monika Kamiński;Białystok;podlaskie;Spożywcze;Oliwa z oliwek;34;4405,69;0;149793,46;Anulowane
ZAM/2024/06450;2024-11-22;Barbara Woźniak;Bydgoszcz;kujawsko-pomorskie;Książki;Album sztuki;38;3721,95;0;141434,10;Anulowane
ZAM/2024/06451;2024-09-03;Aleksandra Krawczyk;Lublin;lubelskie;Ogród;Grill gazowy;26;1141,23;15;25221,18;Anulowane
ZAM/2024/06452;2024-12-30;Aleksandra Michalski;Poznań;wielkopolskie;Spożywcze;Herbata zielona;34;579,63;5;18722,05;Zrealizowane
ZAM/2024/06453;2024-01-13;Aleksandra Mazur;Białystok;podlaskie;Meble;Fotel biurowy;16;1606,72;10;23136,77;Zrealizowane
ZAM/2024/06454;2025-01-07;Maria Kozłowski;Bydgoszcz;kujawsko-pomorskie;Ogród;Parasol;16;755,33;0;12085,28;Zwrot
ZAM/2024/06455;2024-04-16;Maria Zieliński;Gdańsk;pomorskie;Odzież;Kurtka zimowa;28;3891,87;10;98075,12;Anulowane
ZAM/2024/06456;2024-06-20;Maria Szymański;Wrocław;dolnośląskie;AGD;Pralka Eko;26;3899,47;0;101386,22;Anulowane
ZAM/2024/06457;2024-12-18;Krzysztof Lewandowski;Szczecin;zachodniopomorskie;AGD;Lodówka XL;39;4448,88;15;147480,37;Zwrot
ZAM/2024/06458;2024-04-12;Paweł Zieliński;Szczecin;zachodniopomorskie;Ogród;Kosiarka;45;3371,95;10;136563,98;Zrealizowane
ZAM/2024/06459;2024-04-08;Agnieszka Michalski;Bydgoszcz;kujawsko-pomorskie;Książki;Atlas świata;12;4093,92;10;44214,34;W trakcie
ZAM/2024/06460;2024-08-22;Robert Dąbrowski;Wrocław;dolnośląskie;Elektronika;Słuchawki BT;50;1379,78;15;58640,65;Zwrot
ZAM/2024/06461;2025-02-05;Monika Piotrowski;Łódź;łódzkie;Odzież;Buty sportowe;24;2734,75;20;52507,20;Anulowane
ZAM/2024/06462;2025-03-17;Piotr Kowalczyk;Kraków;małopolskie;Ogród;Wąż ogrodowy;25;3122,02;0;78050,50;W trakcie
ZAM/2024/06463;2024-11-17;Ewa Mazur;Gdańsk;pomorskie;Ogród;Parasol;29;499,68;0;14490,72;Anulowane
ZAM/2024/06464;2025-01-30;Agnieszka Michalski;Wrocław;dolnośląskie;Ogród;Kosiarka;6;4960,81;15;25300,13;Zwrot
ZAM/2024/06465;2025-05-27;Ewa Wójcik;Gdańsk;pomorskie;Odzież;Buty sportowe;39;1480,10;15;49065,31;Anulowane
ZAM/2024/06466;2025-04-14;Piotr Kozłowski;Bydgoszcz;kujawsko-pomorskie;Książki;Atlas świata;33;2898,61;0;95654,13;W trakcie
ZAM/2024/06467;2025-03-19;Magdalena Michalski;Szczecin;zachodniopomorskie;Książki;Biografia;20;661,34;10;11904,12;Zrealizowane
ZAM/2024/06468;2024-04-05;Jan Kowalski;Gdańsk;pomorskie;Zabawki;Klocki XXL;34;2270,20;5;73327,46;Anulowane
ZAM/2024/06469;2025-04-17;Barbara Lewandowski;Lublin;lubelskie;Odzież;Sweter;44;2513,09;0;110575,96;Zrealizowane
ZAM/2024/06470;2024-05-27;Robert Zieliński;Rzeszów;podkarpackie;Ogród;Kosiarka;38;749,21;5;27046,48;Zwrot
ZAM/2024/06471;2024-03-10;Joanna Kwiatkowski;Rzeszów;podkarpackie;Odzież;Koszula bawełna;6;4363,54;5;24872,18;Zrealizowane
ZAM/2024/06472;2025-01-01;Anna Lewandowski;Poznań;wielkopolskie;Książki;Atlas świata;4;1086,27;0;4345,08;W trakcie
ZAM/2024/06473;2025-05-06;Jan Mazur;Kraków;małopolskie;Zabawki;Gra planszowa;39;3135,39;10;110052,19;W trakcie
ZAM/2024/06474;2025-04-11;Barbara Kowalczyk;Szczecin;zachodniopomorskie;Zabawki;Lalka;47;543,44;20;20433,34;Zwrot
ZAM/2024/06475;2024-08-30;Robert Woźniak;Wrocław;dolnośląskie;Zabawki;Puzzle 1000;25;1164,87;15;24753,49;Zwrot
ZAM/2024/06476;2024-04-15;Ewa Kowalczyk;Kraków;małopolskie;Odzież;Koszula bawełna;37;1866,30;10;62147,79;Anulowane
ZAM/2024/06477;2024-07-15;Andrzej Kwiatkowski;Szczecin;zachodniopomorskie;AGD;Odkurzacz Robot;30;3215,41;10;86816,07;Zrealizowane
ZAM/2024/06478;2024-08-29;Ewa Wójcik;Katowice;śląskie;AGD;Czajnik;19;196,41;5;3545,20;Zrealizowane
ZAM/2024/06479;2024-07-11;Joanna Kwiatkowski;Warszawa;mazowieckie;AGD;Lodówka XL;11;3746,18;0;41207,98;Zrealizowane
ZAM/2024/06480;2024-08-09;Jan Wójcik;Bydgoszcz;kujawsko-pomorskie;Zabawki;Lalka;31;1410,51;0;43725,81;Zwrot
ZAM/2024/06481;2024-08-01;Magdalena Kwiatkowski;Warszawa;mazowieckie;Książki;Album sztuki;48;4608,98;0;221231,04;Zwrot
ZAM/2024/06482;2024-03-10;Paweł Kwiatkowski;Wrocław;dolnośląskie;Zabawki;Klocki XXL;41;1491,04;0;61132,64;Zwrot
ZAM/2024/06483;2024-11-05;Łukasz Woźniak;Szczecin;zachodniopomorskie;Odzież;Buty sportowe;16;144,75;20;1852,80;Zwrot
ZAM/2024/06484;2024-06-27;Ewa Pawłowski;Lublin;lubelskie;Odzież;Buty sportowe;31;958,45;15;25255,16;Anulowane
ZAM/2024/06485;2024-07-18;Anna Kowalczyk;Gdańsk;pomorskie;Meble;Fotel biurowy;23;2658,21;5;58081,89;Zrealizowane
ZAM/2024/06486;2024-12-10;Piotr Kamiński;Lublin;lubelskie;Spożywcze;Herbata zielona;12;545,66;15;5565,73;Zrealizowane
ZAM/2024/06487;2024-01-29;Paweł Kwiatkowski;Białystok;podlaskie;Elektronika;Słuchawki BT;44;1445,41;20;50878,43;Zrealizowane
ZAM/2024/06488;2025-06-05;Ewa Michalski;Lublin;lubelskie;Zabawki;Gra planszowa;37;457,74;0;16936,38;Zwrot
ZAM/2024/06489;2024-02-29;Robert Zieliński;Bydgoszcz;kujawsko-pomorskie;Ogród;Kosiarka;39;4333,55;20;135206,76;W trakcie
ZAM/2024/06490;2024-12-11;Jan Mazur;Katowice;śląskie;Spożywcze;Herbata zielona;10;2386,96;20;19095,68;Zwrot
ZAM/2024/06491;2024-06-25;Łukasz Krawczyk;Kraków;małopolskie;Odzież;Kurtka zimowa;48;4074,25;0;195564,00;W trakcie
ZAM/2024/06492;2025-06-12;Robert Wiśniewski;Łódź;łódzkie;Książki;Poradnik kuchnia;24;3752,67;0;90064,08;Zwrot
ZAM/2024/06493;2024-08-31;Paweł Nowak;Warszawa;mazowieckie;Spożywcze;Miód;31;3732,67;0;115712,77;Anulowane
ZAM/2024/06494;2025-04-24;Barbara Grabowski;Poznań;wielkopolskie;Zabawki;Lalka;28;4975,42;5;132346,17;Zwrot
ZAM/2024/06495;2025-06-19;Paweł Dąbrowski;Rzeszów;podkarpackie;Spożywcze;Miód;32;4729,55;20;121076,48;Zrealizowane
ZAM/2024/06496;2024-08-26;Michał Mazur;Lublin;lubelskie;Odzież;Kurtka zimowa;4;3619,12;15;12305,01;W trakcie
ZAM/2024/06497;2024-06-24;Krzysztof Wiśniewski;Wrocław;dolnośląskie;Meble;Komoda;22;1236,93;0;27212,46;Zwrot
ZAM/2024/06498;2024-04-05;Magdalena Kozłowski;Łódź;łódzkie;Zabawki;Gra planszowa;36;4429,37;10;143511,59;W trakcie
ZAM/2024/06499;2025-01-07;Łukasz Wiśniewski;Lublin;lubelskie;AGD;Czajnik;17;2814,25;5;45450,14;Zwrot
ZAM/2024/06500;2024-10-20;Monika Piotrowski;Szczecin;zachodniopomorskie;Spożywcze;Oliwa z oliwek;46;1082,26;5;47294,76;Anulowane
ZAM/2024/06501;2025-02-01;Paweł Nowicki;Rzeszów;podkarpackie;AGD;Pralka Eko;41;3743,66;0;153490,06;Zwrot
ZAM/2024/06502;2024-03-07;Piotr Lewandowski;Bydgoszcz;kujawsko-pomorskie;Spożywcze;Kawa ziarnista;14;4505,17;20;50457,90;Anulowane
ZAM/2024/06503;2024-05-29;Tomasz Woźniak;Białystok;podlaskie;Zabawki;Gra planszowa;41;423,40;15;14755,49;Zrealizowane
ZAM/2024/06504;2024-11-23;Magdalena Krawczyk;Łódź;łódzkie;Ogród;Parasol;19;4746,34;15;76653,39;Zwrot
ZAM/2024/06505;2024-04-03;Tomasz Kowalski;Poznań;wielkopolskie;Zabawki;Klocki XXL;22;3936,77;15;73617,60;W trakcie
ZAM/2024/06506;2024-12-20;Marcin Szymański;Poznań;wielkopolskie;Elektronika;Monitor 27;12;1888,13;20;18126,05;Zrealizowane
ZAM/2024/06507;2024-09-17;Paweł Wójcik;Poznań;wielkopolskie;AGD;Czajnik;26;3374,94;0;87748,44;Zrealizowane
ZAM/2024/06508;2024-06-20;Anna Piotrowski;Białystok;podlaskie;AGD;Pralka Eko;44;3344,06;0;147138,64;W trakcie
ZAM/2024/06509;2025-04-20;Katarzyna Lewandowski;Poznań;wielkopolskie;AGD;Lodówka XL;36;3501,78;15;107154,47;W trakcie
ZAM/2024/06510;2024-08-29;Marcin Woźniak;Wrocław;dolnośląskie;Spożywcze;Miód;10;1407,12;0;14071,20;W trakcie
ZAM/2024/06511;2024-04-27;Robert Lewandowski;Gdańsk;pomorskie;Książki;Poradnik kuchnia;21;3262,69;0;68516,49;Anulowane
ZAM/2024/06512;2024-04-29;Piotr Lewandowski;Bydgoszcz;kujawsko-pomorskie;Odzież;Buty sportowe;50;3864,05;15;164222,12;W trakcie
ZAM/2024/06513;2024-02-03;Łukasz Michalski;Lublin;lubelskie;AGD;Czajnik;10;4419,79;0;44197,90;Anulowane
ZAM/2024/06514;2024-10-10;Ewa Kwiatkowski;Łódź;łódzkie;Książki;Atlas świata;50;761,74;0;38087,00;W trakcie
ZAM/2024/06515;2024-03-26;Krzysztof Kowalczyk;Kraków;małopolskie;Ogród;Parasol;24;1490,95;5;33993,66;Zrealizowane
ZAM/2024/06516;2024-06-08;Magdalena Kozłowski;Poznań;wielkopolskie;Elektronika;Smartfon X;38;2526,85;10;86418,27;Anulowane
ZAM/2024/06517;2025-06-24;Ewa Wójcik;Szczecin;zachodniopomorskie;Elektronika;Smartfon X;3;2528,05;15;6446,53;Zwrot
ZAM/2024/06518;2024-12-09;Krzysztof Wójcik;Gdańsk;pomorskie;Ogród;Wąż ogrodowy;32;1665,01;15;45288,27;Zwrot
ZAM/2024/06519;2024-11-26;Barbara Dąbrowski;Szczecin;zachodniopomorskie;Ogród;Kosiarka;27;4130,25;0;111516,75;Zwrot
ZAM/2024/06520;2025-03-04;Krzysztof Kwiatkowski;Lublin;lubelskie;Ogród;Wąż ogrodowy;36;3549,58;0;127784,88;Anulowane
ZAM/2024/06521;2024-07-16;Katarzyna Kowalczyk;Katowice;śląskie;AGD;Pralka Eko;21;540,21;0;11344,41;Zwrot
ZAM/2024/06522;2024-05-27;Tomasz Nowicki;Łódź;łódzkie;Ogród;Grill gazowy;10;294,73;5;2799,93;W trakcie
ZAM/2024/06523;2024-09-16;Marcin Kozłowski;Kraków;małopolskie;AGD;Odkurzacz Robot;1;2102,54;10;1892,29;Anulowane
ZAM/2024/06524;2024-01-31;Joanna Nowicki;Lublin;lubelskie;Spożywcze;Kawa ziarnista;49;4625,09;0;226629,41;Zwrot
ZAM/2024/06525;2024-02-26;Paweł Piotrowski;Białystok;podlaskie;Elektronika;Monitor 27;4;2730,22;5;10374,84;Anulowane
ZAM/2024/06526;2024-05-24;Magdalena Wójcik;Poznań;wielkopolskie;Zabawki;Puzzle 1000;25;4585,10;15;97433,38;Anulowane
ZAM/2024/06527;2024-09-05;Andrzej Wiśniewski;Rzeszów;podkarpackie;Książki;Biografia;38;1934,26;5;69826,79;W trakcie
ZAM/2024/06528;2025-01-16;Barbara Piotrowski;Bydgoszcz;kujawsko-pomorskie;Elektronika;Smartfon X;44;2448,95;5;102366,11;Zwrot
ZAM/2024/06529;2024-04-17;Paweł Zieliński;Białystok;podlaskie;Spożywcze;Kawa ziarnista;2;786,15;5;1493,68;Zrealizowane
ZAM/2024/06530;2024-05-01;Marcin Mazur;Wrocław;dolnośląskie;Ogród;Parasol;44;4753,63;0;209159,72;W trakcie
ZAM/2024/06531;2025-06-15;Joanna Szymański;Szczecin;zachodniopomorskie;Spożywcze;Miód;43;4878,47;0;209774,21;Zrealizowane
ZAM/2024/06532;2024-07-21;Barbara Kamiński;Lublin;lubelskie;AGD;Odkurzacz Robot;41;599,59;0;24583,19;Anulowane
ZAM/2024/06533;2025-01-13;Paweł Krawczyk;Katowice;śląskie;Elektronika;Tablet Mini;49;2015,37;0;98753,13;W trakcie
ZAM/2024/06534;2024-05-29;Marcin Nowak;Rzeszów;podkarpackie;Meble;Komoda;11;2464,17;0;27105,87;W trakcie
ZAM/2024/06535;2024-02-05;Paweł Kwiatkowski;Gdańsk;pomorskie;Ogród;Wąż ogrodowy;4;2928,93;5;11129,93;Zrealizowane
ZAM/2024/06536;2025-05-10;Krzysztof Kozłowski;Kraków;małopolskie;Elektronika;Słuchawki BT;49;4646,28;20;182134,18;Zwrot
ZAM/2024/06537;2024-12-13;Joanna Dąbrowski;Wrocław;dolnośląskie;Zabawki;Lalka;21;839,35;0;17626,35;W trakcie
ZAM/2024/06538;2024-08-14;Marcin Woźniak;Szczecin;zachodniopomorskie;AGD;Lodówka XL;24;1547,35;5;35279,58;Anulowane
ZAM/2024/06539;2024-02-11;Piotr Woźniak;Białystok;podlaskie;AGD;Lodówka XL;47;2945,98;0;138461,06;W trakcie
ZAM/2024/06540;2024-03-01;Tomasz Kwiatkowski;Bydgoszcz;kujawsko-pomorskie;Meble;Stół dębowy;10;196,52;0;1965,20;Anulowane
ZAM/2024/06541;2024-03-05;Tomasz Nowicki;Lublin;lubelskie;Odzież;Sukienka;13;4093,89;15;45237,48;W trakcie
ZAM/2024/06542;2024-02-06;Anna Mazur;Kraków;małopolskie;Odzież;Kurtka zimowa;2;4906,68;15;8341,36;Zwrot
ZAM/2024/06543;2024-02-29;Michał Piotrowski;Szczecin;zachodniopomorskie;Meble;Komoda;1;879,43;10;791,49;W trakcie
ZAM/2024/06544;2025-01-03;Michał Wiśniewski;Bydgoszcz;kujawsko-pomorskie;Odzież;Sukienka;2;2864,88;5;5443,27;Zrealizowane
ZAM/2024/06545;2024-04-29;Anna Lewandowski;Warszawa;mazowieckie;Elektronika;Smartfon X;21;815,61;5;16271,42;Zrealizowane
ZAM/2024/06546;2024-01-15;Krzysztof Szymański;Poznań;wielkopolskie;Meble;Stół dębowy;15;177,15;5;2524,39;Zrealizowane
ZAM/2024/06547;2025-04-01;Aleksandra Grabowski;Kraków;małopolskie;Ogród;Donica ceramiczna;45;4160,59;20;149781,24;Zwrot
ZAM/2024/06548;2024-12-07;Joanna Mazur;Katowice;śląskie;Odzież;Buty sportowe;44;250,47;0;11020,68;Zwrot
ZAM/2024/06549;2025-05-19;Paweł Nowak;Bydgoszcz;kujawsko-pomorskie;Zabawki;Samochód RC;43;3082,89;10;119307,84;W trakcie
ZAM/2024/06550;2025-01-23;Łukasz Piotrowski;Poznań;wielkopolskie;Meble;Komoda;31;2710,34;0;84020,54;Zwrot
ZAM/2024/06551;2024-11-26;Katarzyna Mazur;Bydgoszcz;kujawsko-pomorskie;Zabawki;Lalka;33;3083,77;0;101764,41;W trakcie
ZAM/2024/06552;2024-12-25;Marcin Wiśniewski;Poznań;wielkopolskie;Zabawki;Puzzle 1000;22;1213,12;0;26688,64;Zwrot
ZAM/2024/06553;2024-11-21;Anna Woźniak;Łódź;łódzkie;Elektronika;Słuchawki BT;39;4350,81;5;161197,51;W trakcie
ZAM/2024/06554;2025-01-02;Monika Piotrowski;Białystok;podlaskie;Elektronika;Laptop Pro;44;3825,89;0;168339,16;Anulowane
ZAM/2024/06555;2025-03-09;Aleksandra Kozłowski;Wrocław;dolnośląskie;Zabawki;Gra planszowa;49;2420,10;0;118584,90;W trakcie
ZAM/2024/06556;2024-07-07;Ewa Dąbrowski;Warszawa;mazowieckie;Meble;Stół dębowy;13;3079,74;0;40036,62;Anulowane
ZAM/2024/06557;2025-05-16;Piotr Lewandowski;Bydgoszcz;kujawsko-pomorskie;Zabawki;Lalka;4;4546,94;5;17278,37;Anulowane
ZAM/2024/06558;2024-09-22;Joanna Nowicki;Kraków;małopolskie;Elektronika;Tablet Mini;37;2485,37;0;91958,69;Anulowane
ZAM/2024/06559;2025-06-20;Maria Woźniak;Gdańsk;pomorskie;Książki;Atlas świata;18;892,17;0;16059,06;Zwrot
ZAM/2024/06560;2024-07-25;Krzysztof Krawczyk;Kraków;małopolskie;Książki;Powieść kryminał;21;3538,27;0;74303,67;Zwrot
ZAM/2024/06561;2025-06-10;Marcin Grabowski;Bydgoszcz;kujawsko-pomorskie;AGD;Mikrofalówka;10;1907,36;15;16212,56;Anulowane
ZAM/2024/06562;2024-09-12;Maria Kozłowski;Bydgoszcz;kujawsko-pomorskie;Spożywcze;Oliwa z oliwek;44;3076,55;0;135368,20;W trakcie
ZAM/2024/06563;2024-01-27;Aleksandra Zieliński;Bydgoszcz;kujawsko-pomorskie;Ogród;Parasol;19;3860,90;15;62353,54;W trakcie
ZAM/2024/06564;2024-07-22;Piotr Michalski;Poznań;wielkopolskie;Elektronika;Monitor 27;12;697,96;15;7119,19;Anulowane
ZAM/2024/06565;2024-02-04;Monika Woźniak;Białystok;podlaskie;Elektronika;Tablet Mini;14;2509,66;0;35135,24;Anulowane
ZAM/2024/06566;2024-03-25;Anna Nowak;Białystok;podlaskie;Meble;Szafa 3D;34;3898,23;0;132539,82;Zrealizowane
ZAM/2024/06567;2024-03-18;Ewa Mazur;Rzeszów;podkarpackie;Zabawki;Samochód RC;29;892,99;0;25896,71;W trakcie
ZAM/2024/06568;2024-01-30;Tomasz Zieliński;Gdańsk;pomorskie;Odzież;Koszula bawełna;6;1856,43;0;11138,58;Anulowane
ZAM/2024/06569;2024-08-17;Piotr Pawłowski;Białystok;podlaskie;Meble;Fotel biurowy;41;3393,24;0;139122,84;W trakcie
ZAM/2024/06570;2024-10-11;Tomasz Szymański;Kraków;małopolskie;Spożywcze;Kawa ziarnista;28;2909,31;5;77387,65;Anulowane
ZAM/2024/06571;2024-03-21;Jan Grabowski;Białystok;podlaskie;Odzież;Buty sportowe;46;3533,56;10;146289,38;Zwrot
ZAM/2024/06572;2025-02-18;Katarzyna Dąbrowski;Poznań;wielkopolskie;Elektronika;Smartfon X;35;3842,04;0;134471,40;Zrealizowane
ZAM/2024/06573;2024-12-15;Krzysztof Piotrowski;Rzeszów;podkarpackie;Odzież;Buty sportowe;49;713,53;20;27970,38;Anulowane
ZAM/2024/06574;2024-02-14;Ewa Mazur;Wrocław;dolnośląskie;Ogród;Wąż ogrodowy;21;4312,08;15;76970,63;W trakcie
ZAM/2024/06575;2024-10-23;Paweł Kamiński;Lublin;lubelskie;Zabawki;Samochód RC;41;3889,67;0;159476,47;Anulowane
ZAM/2024/06576;2024-03-24;Anna Woźniak;Białystok;podlaskie;Odzież;Koszula bawełna;35;2155,93;5;71684,67;Anulowane
ZAM/2024/06577;2024-05-30;Ewa Pawłowski;Warszawa;mazowieckie;Odzież;Koszula bawełna;20;2000,39;15;34006,63;Zwrot
ZAM/2024/06578;2025-06-04;Ewa Wójcik;Rzeszów;podkarpackie;Meble;Szafa 3D;4;2270,25;5;8626,95;W trakcie
ZAM/2024/06579;2025-05-13;Ewa Kwiatkowski;Wrocław;dolnośląskie;AGD;Pralka Eko;32;741,27;0;23720,64;Zwrot
ZAM/2024/06580;2024-10-07;Agnieszka Piotrowski;Białystok;podlaskie;Książki;Powieść kryminał;29;4486,93;10;117108,87;Zrealizowane
ZAM/2024/06581;2024-07-09;Maria Nowicki;Warszawa;mazowieckie;Elektronika;Słuchawki BT;43;1119,33;20;38504,95;W trakcie
ZAM/2024/06582;2024-06-26;Łukasz Nowicki;Katowice;śląskie;Elektronika;Laptop Pro;1;4251,52;15;3613,79;W trakcie
ZAM/2024/06583;2024-08-27;Monika Mazur;Lublin;lubelskie;Książki;Album sztuki;36;1552,16;10;50289,98;Zrealizowane
